day_of_year,time_minutes,longitude,latitude,occupancy
239,1223,77.627521,12.974041,low
26,912,77.604433,12.923495,medium
231,1136,77.614307,12.968463,high
250,756,77.599425,12.931088,medium
196,1038,77.626675,12.925822,low
249,1130,77.561786,12.921359,low
278,1062,77.557059,12.94145,medium
327,662,77.591751,12.90597,high
93,1198,77.566131,12.918426,high
311,608,77.632631,12.908038,high
230,1156,77.57865,12.920729,high
348,846,77.616059,12.947659,medium
176,399,77.562319,12.989603,low
39,988,77.59246,12.941246,high
128,1000,77.563424,12.946048,medium
38,1051,77.622057,12.963979,medium
279,1198,77.593132,12.940642,high
254,973,77.627906,12.912797,medium
168,1020,77.579788,12.961089,high
167,802,77.624858,12.966743,medium
322,1113,77.646413,12.906713,low
166,654,77.601975,12.937866,medium
150,1132,77.573896,12.97857,low
265,749,77.56643,12.94028,low
325,1269,77.629872,12.910599,medium
193,1259,77.604986,12.952113,medium
16,365,77.564175,12.970088,low
255,1074,77.605903,12.955555,low
54,1196,77.584032,12.986783,high
136,899,77.632572,12.971473,low
206,568,77.552104,12.966569,low
292,1091,77.559311,12.940984,low
47,1212,77.620696,12.921307,low
187,403,77.564255,12.938853,low
141,399,77.615947,12.95303,low
279,564,77.620883,12.97387,high
17,1008,77.639659,12.966173,medium
177,875,77.569354,12.901326,low
18,1128,77.585921,12.935612,medium
68,428,77.554866,12.950981,medium
332,994,77.598679,12.979731,medium
221,621,77.583788,12.916587,medium
51,486,77.622651,12.9856,low
46,655,77.571488,12.957952,medium
128,1317,77.634621,12.950494,high
115,445,77.61839,12.964166,low
45,743,77.630437,12.941889,high
18,868,77.578267,12.936306,medium
69,1317,77.585998,12.952562,high
139,571,77.556816,12.973825,low
175,640,77.574845,12.955628,low
128,947,77.626291,12.950143,high
104,489,77.611025,12.93085,medium
144,646,77.640149,12.921985,high
344,979,77.556131,12.906248,high
82,700,77.551087,12.957784,high
232,867,77.626581,12.920507,medium
364,1179,77.62169,12.959012,low
313,1153,77.606348,12.958794,medium
199,1244,77.556317,12.919835,medium
1,1005,77.608016,12.94702,medium
222,766,77.550566,12.977255,low
111,604,77.553584,12.988067,high
160,760,77.595075,12.966456,medium
242,939,77.634457,12.963753,low
252,839,77.574713,12.924268,medium
347,700,77.616827,12.920179,low
191,1227,77.643857,12.98977,medium
97,1066,77.565275,12.948665,medium
115,1005,77.618512,12.915939,low
48,649,77.649698,12.983124,high
85,489,77.595424,12.968406,low
95,631,77.582908,12.985767,low
234,532,77.6352,12.952434,low
100,743,77.640544,12.904395,low
283,813,77.60665,12.93667,high
308,1159,77.585135,12.918434,low
164,1112,77.583495,12.925154,high
347,1264,77.607775,12.926559,medium
8,927,77.554923,12.958289,low
172,1218,77.627558,12.984414,high
1,945,77.630838,12.977063,medium
175,899,77.648277,12.930111,medium
171,961,77.571063,12.988976,high
360,650,77.585905,12.941358,high
161,686,77.622834,12.909253,low
118,463,77.631651,12.919657,medium
352,510,77.566657,12.914615,high
214,1031,77.577745,12.942855,medium
4,391,77.589249,12.984209,low
282,1086,77.61801,12.906113,low
213,500,77.637028,12.989937,low
271,652,77.625116,12.908215,low
266,536,77.57174,12.949042,medium
147,474,77.60704,12.984211,low
25,456,77.550993,12.93462,medium
117,674,77.631931,12.941197,medium
80,1080,77.620278,12.984509,medium
199,823,77.578571,12.936778,low
219,743,77.553993,12.922365,medium
216,375,77.569251,12.987548,low
12,521,77.58367,12.98609,low
15,994,77.603846,12.938853,low
230,402,77.615787,12.950324,medium
250,556,77.628298,12.980242,low
138,874,77.607163,12.916755,high
85,455,77.595438,12.922221,high
242,476,77.642854,12.9743,low
111,986,77.618198,12.903192,high
186,1172,77.597604,12.91662,high
147,812,77.591992,12.949607,medium
109,393,77.621536,12.955574,low
130,612,77.585013,12.929238,medium
169,706,77.577367,12.90542,medium
258,1048,77.569141,12.92419,medium
245,765,77.603074,12.902992,medium
292,950,77.634521,12.96107,low
51,451,77.575416,12.975884,low
205,719,77.571043,12.946953,high
218,1193,77.62546,12.951027,high
18,1011,77.603313,12.94039,high
162,568,77.619273,12.934001,low
265,368,77.57324,12.950953,medium
167,647,77.62556,12.93216,medium
318,789,77.645411,12.973468,high
107,375,77.585739,12.961254,low
278,824,77.601769,12.931177,low
329,929,77.641109,12.925169,medium
362,1194,77.589976,12.940621,low
127,926,77.553714,12.92828,high
274,594,77.56664,12.961833,low
198,540,77.56275,12.96508,high
245,413,77.610656,12.90811,high
34,687,77.637274,12.942728,medium
33,1017,77.566396,12.981351,medium
342,478,77.624108,12.95457,medium
345,452,77.62538,12.97184,low
226,1165,77.567211,12.902289,low
356,1269,77.641305,12.935151,medium
105,673,77.574815,12.932546,high
362,408,77.561502,12.979039,low
267,1217,77.622363,12.978812,medium
229,408,77.597327,12.905476,medium
93,775,77.593009,12.961425,medium
39,967,77.575315,12.934702,medium
138,709,77.609941,12.9426,high
315,498,77.569223,12.963537,medium
262,1004,77.630208,12.902461,low
64,886,77.589157,12.976584,medium
218,494,77.598035,12.93737,medium
49,1058,77.562764,12.963992,high
299,688,77.553166,12.931186,low
83,1033,77.634893,12.98446,high
307,1116,77.577302,12.959716,low
210,843,77.564891,12.985121,high
187,639,77.625119,12.954916,medium
118,1315,77.624481,12.936674,high
163,621,77.590543,12.934888,medium
3,1248,77.576821,12.982069,low
20,1103,77.622833,12.911645,medium
169,830,77.644934,12.936879,medium
351,1237,77.588472,12.95716,low
17,415,77.577624,12.969134,medium
125,882,77.5567,12.947347,medium
143,438,77.571229,12.909047,high
293,569,77.646171,12.975475,medium
328,531,77.563184,12.960295,high
76,565,77.64933,12.951712,low
224,684,77.613817,12.906552,medium
255,1103,77.57471,12.929959,high
150,1226,77.598795,12.984259,medium
309,376,77.550539,12.909678,low
9,521,77.567671,12.977335,low
272,1238,77.563073,12.989604,medium
270,724,77.589245,12.944833,medium
158,998,77.640921,12.938609,low
32,594,77.57363,12.976179,high
175,529,77.642927,12.943162,medium
227,376,77.583939,12.932995,medium
115,458,77.559351,12.950099,low
328,610,77.645168,12.928958,high
296,1060,77.644881,12.945155,medium
37,372,77.649472,12.963751,low
163,368,77.640376,12.975977,high
8,780,77.627252,12.950624,high
325,546,77.616218,12.966492,medium
309,1320,77.581046,12.910256,high
147,971,77.55577,12.962496,high
267,862,77.597,12.982929,medium
299,417,77.600096,12.934656,medium
114,866,77.579317,12.989176,medium
220,571,77.620563,12.948116,low
301,729,77.571467,12.96435,high
275,450,77.582842,12.901224,medium
7,915,77.583707,12.986794,low
274,798,77.62978,12.936452,low
135,681,77.620049,12.984961,high
135,707,77.596261,12.982066,high
41,875,77.573173,12.98299,high
130,1006,77.584907,12.932182,low
254,1280,77.604206,12.961921,medium
11,1065,77.556236,12.909943,low
181,1096,77.645471,12.976417,high
40,873,77.586075,12.947384,medium
328,937,77.605229,12.981609,low
215,899,77.582197,12.985885,medium
56,920,77.595602,12.915147,low
183,463,77.635718,12.981127,medium
96,1056,77.593494,12.956565,high
66,1103,77.599311,12.954378,medium
310,417,77.602132,12.941086,low
249,1231,77.643789,12.980171,medium
290,981,77.604834,12.937409,medium
159,490,77.569361,12.920782,medium
250,952,77.588994,12.939936,low
275,782,77.643555,12.931913,low
238,495,77.5718,12.947224,high
357,815,77.620666,12.900665,medium
31,604,77.626166,12.931593,high
168,438,77.582422,12.923931,low
30,728,77.5552,12.986635,medium
93,1259,77.610501,12.958347,medium
298,1036,77.64113,12.935589,medium
194,580,77.591422,12.924324,medium
273,789,77.5647,12.969368,low
92,433,77.648075,12.947981,high
102,572,77.557217,12.934216,low
159,615,77.579658,12.967448,low
343,816,77.602306,12.958684,high
285,409,77.624344,12.922491,medium
60,1244,77.596035,12.965661,low
118,409,77.594299,12.912174,high
243,985,77.627418,12.945542,medium
154,828,77.576803,12.912768,medium
92,383,77.589929,12.958439,medium
336,951,77.631956,12.938166,low
350,1009,77.607186,12.928969,medium
141,994,77.617146,12.926739,medium
117,1273,77.645893,12.970444,high
262,910,77.553469,12.928445,low
346,1071,77.620732,12.97148,medium
102,1117,77.63748,12.986991,medium
334,894,77.62998,12.920203,high
258,1075,77.569022,12.97508,medium
71,969,77.567536,12.913256,medium
317,651,77.551318,12.966051,medium
134,1032,77.595405,12.921699,high
104,711,77.559694,12.988992,medium
173,731,77.624036,12.975108,low
177,1316,77.635186,12.904536,low
204,910,77.568325,12.986189,high
303,1202,77.6484,12.947626,high
342,528,77.570561,12.989716,low
141,1100,77.59754,12.904643,high
334,1267,77.640145,12.948703,high
287,899,77.565998,12.916804,high
296,1157,77.558956,12.920612,high
222,1004,77.613701,12.915237,high
145,1007,77.639378,12.944926,low
274,1127,77.613649,12.958716,high
182,1076,77.642293,12.915119,medium
221,822,77.582269,12.973336,high
213,803,77.556333,12.942422,medium
201,636,77.612542,12.968112,low
271,809,77.639474,12.985709,low
224,1302,77.581846,12.979729,medium
188,719,77.58833,12.902677,high
196,684,77.639096,12.969009,low
30,1125,77.583304,12.9363,medium
240,976,77.556323,12.903236,low
217,1169,77.602798,12.919394,medium
322,1107,77.571417,12.980094,low
210,586,77.613316,12.917251,medium
19,512,77.617585,12.955482,high
107,1022,77.555518,12.988186,medium
316,954,77.636327,12.907296,medium
65,516,77.63046,12.979528,high
146,655,77.590057,12.934029,medium
272,557,77.579637,12.965328,high
284,756,77.562419,12.937038,low
185,671,77.613463,12.947947,medium
48,591,77.647816,12.933792,low
324,990,77.608326,12.911564,medium
244,1059,77.569366,12.979558,low
361,863,77.625726,12.988421,low
182,376,77.59384,12.959005,low
301,747,77.568582,12.989362,high
84,575,77.574867,12.945895,medium
106,1118,77.629485,12.986211,medium
173,905,77.598706,12.971007,medium
239,1213,77.638254,12.985556,medium
347,464,77.600917,12.989638,high
103,417,77.63321,12.904449,high
338,870,77.560607,12.939576,high
208,932,77.614241,12.920489,high
328,570,77.592428,12.977272,medium
230,879,77.582378,12.931204,high
82,597,77.589084,12.905791,medium
76,1163,77.645137,12.974502,low
173,1138,77.558163,12.925598,high
300,881,77.582708,12.952608,medium
146,554,77.560167,12.972717,low
96,765,77.596624,12.981334,high
223,436,77.617834,12.984885,low
287,583,77.639523,12.904158,high
93,1239,77.641327,12.940637,high
49,365,77.56874,12.914613,medium
199,952,77.628563,12.907434,low
196,626,77.605024,12.940306,high
317,695,77.559966,12.964215,medium
135,585,77.59383,12.901021,high
71,1257,77.630724,12.960585,low
194,906,77.607224,12.969448,medium
338,368,77.637345,12.951881,medium
73,1244,77.623845,12.928482,high
344,481,77.595361,12.921173,high
67,577,77.571602,12.963282,medium
283,667,77.603644,12.966426,low
262,652,77.63166,12.908254,medium
205,1072,77.557684,12.972518,high
349,417,77.617177,12.954821,high
52,1237,77.562504,12.948457,high
226,404,77.624499,12.92215,medium
351,548,77.605418,12.921347,high
87,1077,77.592786,12.968269,low
328,497,77.612994,12.977529,high
362,523,77.629725,12.947253,high
181,980,77.595599,12.924283,high
141,501,77.596519,12.969582,medium
313,714,77.574972,12.972254,high
51,374,77.646551,12.943719,low
51,654,77.569951,12.92451,high
358,746,77.59266,12.911233,low
114,1209,77.641133,12.936085,high
47,829,77.60875,12.989724,low
261,448,77.583607,12.906202,high
210,674,77.62699,12.951025,medium
227,975,77.589268,12.959299,medium
235,854,77.551762,12.968175,high
193,456,77.596624,12.989703,high
40,1096,77.60071,12.916216,low
238,581,77.564935,12.942026,medium
297,809,77.63788,12.952579,high
257,646,77.634975,12.900328,medium
9,688,77.554282,12.980735,high
345,1318,77.618463,12.913324,high
188,1030,77.567495,12.923029,medium
140,592,77.619106,12.967429,low
349,890,77.611186,12.951185,low
274,819,77.608705,12.908127,high
243,626,77.584224,12.95917,high
90,747,77.604882,12.934193,high
16,1148,77.582122,12.948612,medium
209,1019,77.623033,12.960501,medium
253,547,77.6126,12.941752,low
67,1150,77.588037,12.980378,low
275,1266,77.550282,12.962164,medium
110,381,77.557784,12.964502,high
309,742,77.64932,12.989488,low
270,379,77.616309,12.931285,low
221,631,77.594995,12.927411,medium
150,472,77.572145,12.972021,high
351,1064,77.556466,12.973746,medium
159,797,77.634162,12.900641,low
69,858,77.578153,12.908508,medium
344,674,77.555207,12.954921,medium
343,425,77.609358,12.946566,medium
201,891,77.587139,12.97478,medium
193,1173,77.580373,12.952655,low
95,1190,77.606428,12.969894,low
303,748,77.628431,12.976949,low
122,1128,77.617108,12.948223,high
3,935,77.587718,12.90254,medium
300,400,77.620672,12.967488,high
312,726,77.59047,12.989288,low
108,561,77.600663,12.941444,high
112,930,77.618533,12.983858,medium
52,1241,77.605216,12.920056,medium
5,617,77.647729,12.901814,medium
118,915,77.624188,12.904352,medium
365,609,77.599641,12.987958,low
356,959,77.64719,12.91056,medium
76,1305,77.595368,12.958275,high
161,740,77.615733,12.917905,medium
170,668,77.567348,12.965379,low
94,711,77.617728,12.973775,high
313,772,77.620443,12.911495,medium
246,563,77.63215,12.941658,high
3,1213,77.580301,12.907626,medium
282,408,77.615537,12.918904,medium
210,605,77.619671,12.949728,high
102,1296,77.645524,12.977475,low
171,615,77.5908,12.975949,low
109,735,77.609778,12.964469,low
172,1024,77.569959,12.983992,low
19,613,77.612514,12.91921,low
342,517,77.634982,12.947152,low
109,1295,77.594108,12.978329,medium
215,1090,77.60396,12.930514,medium
249,785,77.643308,12.96312,low
24,758,77.590174,12.98168,low
141,728,77.609131,12.943886,high
50,1146,77.626519,12.945807,medium
161,749,77.55281,12.905998,high
192,1240,77.594547,12.901502,medium
254,1087,77.594082,12.937502,medium
303,822,77.606815,12.942208,high
301,615,77.592205,12.947879,high
319,1244,77.577381,12.966759,low
197,526,77.646671,12.901045,high
188,877,77.645055,12.980399,medium
160,798,77.635517,12.915918,low
214,794,77.639311,12.933441,low
113,1176,77.56037,12.902435,medium
217,962,77.567316,12.919924,high
19,964,77.557965,12.914614,high
16,696,77.599018,12.911334,high
263,616,77.589536,12.948888,medium
31,1077,77.573622,12.916937,low
12,653,77.624892,12.92823,low
212,797,77.616477,12.970564,high
242,993,77.606835,12.94096,high
140,423,77.593858,12.925911,high
142,946,77.598213,12.988769,low
280,982,77.580558,12.978737,high
118,725,77.582702,12.976824,high
297,1308,77.636236,12.951197,low
142,1118,77.634684,12.937048,high
112,1211,77.572102,12.960799,low
285,1135,77.621663,12.983016,low
301,707,77.586676,12.951498,low
179,1086,77.556911,12.944205,high
275,941,77.575814,12.988405,medium
66,1032,77.610988,12.940605,low
339,854,77.576076,12.932125,medium
66,749,77.583745,12.905602,low
335,804,77.629257,12.907735,medium
114,936,77.569752,12.909316,medium
183,1261,77.605775,12.919665,high
115,1005,77.597397,12.918309,low
143,1317,77.624107,12.931029,high
353,1062,77.595338,12.979451,high
274,1194,77.611591,12.904693,high
226,1012,77.640839,12.942822,medium
175,897,77.601714,12.906794,low
43,1075,77.648885,12.988843,low
215,1250,77.59445,12.93753,low
290,1147,77.642816,12.938423,high
1,1305,77.558236,12.924879,low
309,418,77.611448,12.983092,high
6,1224,77.568102,12.988506,high
301,1057,77.557898,12.927507,medium
173,1052,77.614041,12.941455,medium
112,1208,77.565185,12.923442,high
347,812,77.613379,12.959643,low
31,1188,77.637916,12.947734,medium
12,691,77.563575,12.917105,low
7,758,77.620344,12.908274,medium
169,782,77.614072,12.948385,low
346,369,77.572325,12.932508,high
348,1036,77.595906,12.908726,low
326,1176,77.580775,12.979614,low
251,643,77.628334,12.90756,medium
307,1260,77.623793,12.954771,low
59,1228,77.63728,12.954632,low
202,1304,77.592029,12.915967,high
228,1193,77.635636,12.983158,medium
346,434,77.611759,12.967284,low
86,969,77.62894,12.987517,low
58,1072,77.555539,12.914052,high
154,988,77.595773,12.937013,low
139,840,77.630761,12.92974,medium
135,1059,77.635121,12.978789,high
221,1214,77.56924,12.982274,low
65,1154,77.563926,12.943509,low
102,379,77.610381,12.900917,medium
209,1047,77.617198,12.924704,medium
138,694,77.556154,12.936853,medium
309,734,77.551963,12.924363,high
81,1121,77.572075,12.953817,low
212,711,77.574373,12.939239,high
179,1031,77.604332,12.926569,low
233,399,77.635407,12.939929,medium
104,493,77.606768,12.985004,medium
50,797,77.618305,12.926722,high
308,439,77.564137,12.989637,high
313,478,77.593306,12.929415,medium
168,910,77.578512,12.944272,medium
48,533,77.615793,12.98697,low
204,1017,77.596105,12.913346,low
252,396,77.628971,12.90362,low
222,864,77.567562,12.931817,high
17,1179,77.582049,12.97476,medium
141,428,77.646637,12.964243,high
346,814,77.586578,12.967834,low
346,1025,77.597889,12.906031,low
186,372,77.556937,12.930796,high
50,1267,77.627409,12.931188,medium
94,828,77.608221,12.90649,high
183,1194,77.573241,12.948944,high
230,731,77.58296,12.972778,high
189,765,77.57784,12.915209,low
222,494,77.567528,12.916455,high
99,500,77.607795,12.905052,low
160,549,77.585889,12.929079,high
150,1281,77.566136,12.923344,high
108,1270,77.600599,12.965069,medium
349,447,77.557242,12.970652,medium
345,664,77.640223,12.963959,high
291,738,77.611501,12.901562,low
30,927,77.619313,12.902277,low
224,920,77.648941,12.964751,low
130,694,77.568149,12.936499,low
206,427,77.628636,12.938713,high
138,365,77.638689,12.911858,medium
92,703,77.608506,12.922661,low
266,395,77.574252,12.953819,medium
168,1304,77.615968,12.971371,medium
331,578,77.597562,12.929528,high
164,867,77.594057,12.91065,high
207,401,77.556871,12.950288,medium
104,481,77.6399,12.925906,low
316,761,77.618503,12.98275,medium
154,1059,77.592637,12.914217,low
103,960,77.620702,12.952129,medium
78,574,77.610923,12.913058,high
300,490,77.558333,12.907443,low
358,535,77.643567,12.953543,low
256,1303,77.601621,12.928927,low
156,594,77.581611,12.902426,low
283,898,77.613028,12.910783,medium
162,989,77.613301,12.901026,high
178,1169,77.597967,12.928847,medium
136,672,77.629255,12.989164,high
63,1063,77.576306,12.946403,high
128,957,77.617689,12.932087,high
198,1164,77.567697,12.988409,low
342,944,77.612336,12.919156,high
314,862,77.622641,12.95307,low
22,555,77.620351,12.968246,medium
255,953,77.638925,12.927195,high
329,1225,77.600906,12.96626,high
359,776,77.637533,12.933998,high
78,361,77.585946,12.980991,medium
110,975,77.649899,12.948984,low
259,548,77.570867,12.947852,high
18,396,77.605027,12.985557,low
218,1026,77.624254,12.985737,low
228,993,77.602733,12.943846,low
341,1157,77.606572,12.923185,low
332,892,77.566236,12.968351,high
188,591,77.615627,12.926535,low
324,945,77.64839,12.962258,high
5,580,77.603042,12.971743,medium
84,1084,77.602277,12.980773,medium
192,385,77.579704,12.906659,low
77,1083,77.598739,12.929702,medium
282,995,77.64159,12.923805,medium
353,528,77.608496,12.915002,low
86,1151,77.564859,12.973301,low
206,527,77.641366,12.969149,low
16,912,77.624376,12.940486,medium
231,977,77.63488,12.904588,low
1,367,77.642273,12.98295,high
315,715,77.577686,12.983801,low
203,1230,77.616963,12.95911,medium
128,1137,77.620163,12.98669,medium
187,691,77.611821,12.97146,high
3,1152,77.62421,12.981714,medium
12,1269,77.56081,12.949047,medium
165,1140,77.591516,12.98902,low
322,1165,77.595319,12.941603,high
42,705,77.56122,12.988824,high
300,1257,77.564293,12.934872,high
190,1097,77.628357,12.932463,high
178,1133,77.577682,12.952209,medium
132,455,77.623208,12.944985,high
133,1059,77.565426,12.952054,high
50,970,77.612828,12.904892,high
37,628,77.580533,12.947707,medium
30,898,77.629344,12.936664,high
266,975,77.636183,12.947863,low
261,1318,77.568352,12.985217,low
124,1129,77.617462,12.904395,medium
119,531,77.634628,12.9589,low
268,964,77.634405,12.988573,high
126,533,77.593785,12.937997,high
193,1022,77.642049,12.938379,high
264,860,77.585158,12.949125,medium
212,406,77.638407,12.97557,medium
10,747,77.594484,12.963092,high
52,1144,77.595513,12.948608,low
76,686,77.63765,12.971886,medium
78,508,77.564104,12.948773,low
173,634,77.638202,12.901689,low
332,1094,77.635644,12.942422,low
209,594,77.585584,12.931932,low
216,1200,77.570593,12.900267,low
29,458,77.604105,12.945279,high
263,462,77.626956,12.957836,low
251,475,77.576722,12.989363,low
351,603,77.600898,12.907099,high
297,382,77.61004,12.951827,medium
74,1068,77.63118,12.923841,high
352,1057,77.603616,12.938143,low
67,1317,77.581614,12.980638,low
362,781,77.580636,12.987288,low
169,1231,77.562725,12.982625,medium
144,890,77.641854,12.968343,low
249,1137,77.550845,12.912353,high
164,990,77.595658,12.959071,medium
331,665,77.562311,12.951316,low
132,842,77.62523,12.919613,medium
287,563,77.61567,12.949399,high
112,1211,77.567673,12.926402,high
327,1247,77.551774,12.938777,medium
151,542,77.551296,12.932583,low
342,464,77.604818,12.959977,low
152,498,77.600039,12.988724,low
258,423,77.566527,12.956729,medium
77,982,77.63843,12.962276,low
293,465,77.586077,12.939877,medium
194,1254,77.597025,12.934043,high
189,1033,77.563796,12.968491,high
327,590,77.613348,12.987191,medium
122,724,77.565141,12.9687,low
20,648,77.551738,12.903812,low
94,1241,77.565359,12.91661,medium
258,1307,77.567166,12.988378,high
138,750,77.645574,12.969997,medium
169,478,77.590698,12.903422,low
211,1028,77.582841,12.984765,high
38,1041,77.62748,12.947449,high
53,922,77.586154,12.974539,low
240,1241,77.602014,12.982129,low
320,813,77.583198,12.980262,medium
125,524,77.60449,12.924878,medium
52,1209,77.551732,12.949843,high
361,530,77.615403,12.965827,low
157,1316,77.631977,12.905146,low
69,655,77.606337,12.951323,medium
89,760,77.614374,12.966131,medium
140,379,77.649723,12.924384,high
292,1218,77.618775,12.975744,low
124,712,77.56568,12.903952,medium
145,991,77.612826,12.98897,high
27,928,77.553384,12.969412,low
352,1108,77.592193,12.91519,medium
43,749,77.627089,12.901775,medium
225,955,77.602469,12.906331,high
284,697,77.649767,12.958155,high
266,1081,77.596062,12.910519,medium
41,1299,77.637075,12.943912,high
55,975,77.59714,12.909818,medium
364,1093,77.566916,12.968343,medium
14,390,77.568372,12.980188,low
122,640,77.56358,12.940299,high
17,1317,77.551732,12.989577,medium
26,1111,77.572883,12.908481,high
290,873,77.633404,12.98673,high
108,494,77.560346,12.926638,low
306,550,77.579081,12.913116,high
313,835,77.554882,12.965366,medium
137,1314,77.593761,12.975313,high
286,604,77.645973,12.979523,medium
206,578,77.561701,12.9739,medium
165,960,77.592774,12.987393,high
125,365,77.628884,12.955769,low
69,426,77.632729,12.956197,medium
38,909,77.619412,12.930756,low
108,416,77.626203,12.972493,medium
46,1131,77.626808,12.913605,medium
204,1138,77.625043,12.988136,high
181,808,77.5576,12.971814,low
202,391,77.638688,12.908848,low
126,718,77.627625,12.912569,high
227,1158,77.636995,12.973954,low
70,787,77.574705,12.902186,medium
53,875,77.551543,12.907552,low
138,1252,77.585862,12.930275,low
318,1273,77.64685,12.987175,medium
151,771,77.612173,12.960326,low
343,915,77.615027,12.963044,high
96,782,77.617322,12.954924,high
68,1167,77.552965,12.909091,high
171,1188,77.597975,12.950719,medium
108,751,77.620953,12.905412,low
68,596,77.5838,12.919702,high
140,1214,77.624733,12.905189,low
150,1006,77.551635,12.974872,medium
276,845,77.567912,12.986982,medium
168,667,77.579527,12.981105,low
356,427,77.626447,12.915286,low
151,792,77.621171,12.960464,high
72,1163,77.556285,12.939578,high
340,984,77.577541,12.91294,medium
57,720,77.601545,12.934307,medium
78,1191,77.56808,12.980633,high
34,879,77.618604,12.952347,medium
152,735,77.601119,12.935387,low
343,606,77.613432,12.948523,low
60,1267,77.628993,12.948431,low
1,820,77.592269,12.969925,medium
196,807,77.55141,12.981695,high
166,464,77.648602,12.918503,high
364,375,77.612929,12.936229,high
111,1086,77.579239,12.916912,low
120,629,77.551123,12.983428,medium
253,438,77.594955,12.928077,medium
90,1019,77.581836,12.910573,medium
27,683,77.585253,12.989656,high
166,401,77.64324,12.967482,high
23,1254,77.59788,12.92408,low
335,1126,77.561731,12.900241,high
341,543,77.645381,12.922638,medium
174,630,77.567774,12.91315,medium
326,629,77.627418,12.948474,medium
132,998,77.5892,12.982736,low
15,1125,77.58666,12.968928,medium
17,427,77.587097,12.930277,low
134,497,77.63216,12.952696,low
146,408,77.633822,12.958416,low
73,1113,77.598621,12.943956,low
302,1090,77.638183,12.916593,medium
225,471,77.608313,12.908382,medium
248,1136,77.627216,12.920422,high
61,482,77.614245,12.929402,high
26,1111,77.63528,12.950901,medium
7,992,77.635007,12.917625,low
198,705,77.63077,12.968744,medium
5,1148,77.577221,12.901595,medium
302,391,77.630517,12.972831,medium
126,547,77.632096,12.918928,medium
148,393,77.561835,12.934996,medium
154,980,77.633581,12.927902,low
329,670,77.628136,12.927184,high
57,1249,77.564162,12.972029,low
164,426,77.644438,12.915438,medium
87,475,77.621761,12.957561,medium
317,564,77.620027,12.976752,high
347,595,77.583962,12.97005,low
21,1138,77.643973,12.987285,medium
258,859,77.623183,12.906412,medium
114,1055,77.644354,12.956182,low
45,1037,77.608849,12.939508,high
265,1288,77.638837,12.941998,high
362,773,77.573277,12.953076,high
110,785,77.551473,12.977611,low
182,758,77.599753,12.94312,medium
130,1203,77.55109,12.920172,medium
74,1310,77.550736,12.978206,high
22,832,77.637669,12.981236,high
344,543,77.618456,12.901909,medium
138,433,77.609416,12.93621,low
147,912,77.635631,12.956559,medium
58,650,77.646968,12.98304,medium
